M,constellation,receiver,generation_loss_db_per_step,channel_loss_db,branch_label,bracket_min,bracket_max,spacing_d,hashing_bound_bits_per_attempt,success_probability,average_target_fidelity,probability_weighted_fidelity,min_coherent_information,useful_outcomes,optimizer_success,optimizer_nfev,is_boundary_peak,is_global_maximum,seconds
2,2-QAM,raw_label_srm,0,0.25,single,0.8,2.3,1.67478287424,0.523688510534,1,0.927205066377,0.927205066377,0.436273720228,4,1,9,0,1,0.170
2,2-QAM,raw_label_srm,0.05,0.25,single,0.8,2.3,1.63445635267,0.47527205281,1,0.917203231622,0.917203231622,0.378449270213,4,1,9,0,1,0.119
2,2-QAM,raw_label_srm,0.1,0.25,single,0.8,2.3,1.60021650566,0.431790854934,1,0.907803515353,0.907803515353,0.326661775808,4,1,9,0,1,0.269
2,2-QAM,raw_label_srm,0.15,0.25,single,0.8,2.3,1.57051053051,0.392270357698,1,0.898895814577,0.898895814577,0.279741794365,4,1,9,0,1,0.086
2,2-QAM,raw_label_srm,0.2,0.25,single,0.8,2.3,1.54433889119,0.356015334845,1,0.890396811912,0.890396811912,0.236851056147,4,1,10,0,1,0.128
2,2-QAM,raw_label_srm,0.25,0.25,single,0.8,2.3,1.52101417515,0.322508776506,1,0.882241798354,0.882241798354,0.197361539881,4,1,9,0,1,0.217
2,2-QAM,raw_label_srm,0.3,0.25,single,0.8,2.3,1.50008679407,0.291353710639,1,0.874372755382,0.874372755382,0.160797571465,4,1,9,0,1,0.116
2,2-QAM,raw_label_srm,0.35,0.25,single,0.8,2.3,1.48122754298,0.26223751105,1,0.866740525995,0.866740525995,0.126781923265,4,1,9,0,1,0.036
2,2-QAM,raw_label_srm,0.4,0.25,single,0.8,2.3,1.46421301638,0.234908879201,1,0.859298753732,0.859298753732,0.0950142172114,4,1,9,0,1,0.017
2,2-QAM,raw_label_srm,0.45,0.25,single,0.8,2.3,1.44891702223,0.209162398752,1,0.85199872138,0.85199872138,0.0652557384175,4,1,8,0,1,0.084
2,2-QAM,raw_label_srm,0.5,0.25,single,0.8,2.3,1.43522848204,0.184827842497,1,0.844798513136,0.844798513136,0.0373019838006,4,1,12,0,1,0.084
4,4-QAM,raw_label_srm,0,0.25,high_d,1.1,2.15,1.76801826628,1.08526639383,1,0.842412650124,0.842412650124,0.969701070753,16,1,8,0,1,0.083
4,4-QAM,raw_label_srm,0,0.25,low_d,0.5,1.3,1.3,0.877340760731,1,0.910300358794,0.910300358794,0.513591117066,16,1,19,1,0,0.737
4,4-QAM,raw_label_srm,0.05,0.25,high_d,1.1,2.15,1.70840255798,0.902979890401,1,0.81085208662,0.81085208662,0.785811557698,16,1,8,0,1,0.889
4,4-QAM,raw_label_srm,0.05,0.25,low_d,0.5,1.3,1.3,0.752569302927,1,0.884148473879,0.884148473879,0.39375465554,16,1,19,1,0,0.481
4,4-QAM,raw_label_srm,0.1,0.25,high_d,1.1,2.15,1.66541120374,0.755588063203,1,0.781271252789,0.781271252789,0.639801376337,16,1,9,0,1,0.432
4,4-QAM,raw_label_srm,0.1,0.25,low_d,0.5,1.3,1.3,0.644760420505,1,0.858382408389,0.858382408389,0.290549860981,16,1,19,1,0,0.849
4,4-QAM,raw_label_srm,0.15,0.25,high_d,1.1,2.15,1.6330038608,0.629076423782,1,0.75311081539,0.75311081539,0.515429363311,16,1,8,0,1,0.223
4,4-QAM,raw_label_srm,0.15,0.25,low_d,0.5,1.3,1.3,0.546656351419,1,0.833016441528,0.833016441528,0.196551072056,16,1,19,1,0,0.488
4,4-QAM,raw_label_srm,0.2,0.25,high_d,1.1,2.15,1.60875398183,0.51747103624,1,0.725808994734,0.725808994734,0.405774241193,16,1,9,0,1,0.287
