M,loss_db,eta,spacing_d,reference_spacing_d,spacing_scale,outcomes,previous_ykl_rate,best_rate,best_minus_previous_ykl,relative_gain_vs_previous_percent,best_source,best_start_name,best_polish_name,screen_starts,polished_candidates,screen_best_rate,screen_ykl_rate,polish_ykl_rate,best_minus_screen_ykl,best_minus_polish_ykl,near_best_screen_count,near_best_polish_count,near_best_abs_tol,best_gradient_norm,best_iterations,seconds,best_matrix_path,source_file
4,0.25,0.944060876286,0.946129462925,1.89225892585,0.5,32,1.01903553152,0.691370127459,-0.327665404061,-32.1544631101,random_4,polish_2_from_random_4,polish,21,6,0.68142333654,0.616046700812,0.616597091932,0.0753234266471,0.0747730355269,0,4,0.001,0.00438575140005,220,29.473,results/global_povm_search_qam4_0p25_d_scale_coarse_down/best_matrices/best_M4_loss_0.25_scale_0p5_outcomes_32.npz,results/global_povm_search_qam4_0p25_d_scale_coarse_down/global_povm_search_summary.csv
4,0.25,0.944060876286,1.13535535551,1.89225892585,0.6,32,1.01903553152,0.868258997736,-0.150776533784,-14.7960035858,random_15,polish_3_from_random_15,polish,21,6,0.854258424022,0.772698228786,0.772777366473,0.0955607689504,0.0954816312632,0,5,0.001,0.00518344304169,220,30.143,results/global_povm_search_qam4_0p25_d_scale_coarse_down/best_matrices/best_M4_loss_0.25_scale_0p6_outcomes_32.npz,results/global_povm_search_qam4_0p25_d_scale_coarse_down/global_povm_search_summary.csv
4,0.25,0.944060876286,1.32458124809,1.89225892585,0.7,32,1.01903553152,0.996987325217,-0.022048206303,-2.16363469389,random_6,polish_1_from_random_6,polish,21,6,0.980896391531,0.915248323894,0.932389068747,0.0817390013234,0.0645982564702,0,1,0.001,0.00567803012179,220,30.46,results/global_povm_search_qam4_0p25_d_scale_coarse_down/best_matrices/best_M4_loss_0.25_scale_0p7_outcomes_32.npz,results/global_povm_search_qam4_0p25_d_scale_coarse_down/global_povm_search_summary.csv
4,0.25,0.944060876286,1.51380714068,1.89225892585,0.8,32,1.01903553152,1.07521053673,0.0561750052124,5.51256589931,random_10,polish_1_from_random_10,polish,21,6,1.04582357104,1.02766448239,1.03524731529,0.0475460543445,0.039963221441,0,1,0.001,0.00934759367874,220,28.807,results/global_povm_search_qam4_0p25_d_scale_coarse_down/best_matrices/best_M4_loss_0.25_scale_0p8_outcomes_32.npz,results/global_povm_search_qam4_0p25_d_scale_coarse_down/global_povm_search_summary.csv
4,0.25,0.944060876286,1.60842008697,1.89225892585,0.85,32,1.01903553152,1.10826097953,0.0892254480081,8.75587212107,random_11,polish_4_from_random_11,polish,21,5,1.06381439905,1.0630177903,1.0669609961,0.0452431892303,0.0412999834248,0,1,0.001,0.00992815277426,220,27.061,results/global_povm_search_qam4_0p25_d_scale_coarse_down/best_matrices/best_M4_loss_0.25_scale_0p85_outcomes_32.npz,results/global_povm_search_qam4_0p25_d_scale_coarse_down/global_povm_search_summary.csv
4,0.25,0.944060876286,1.70303303327,1.89225892585,0.9,32,1.01903553152,1.12510306204,0.106067530524,10.4086194488,random_15,polish_3_from_random_15,polish,21,6,1.08185729101,1.08176626742,1.08205117002,0.0433367946286,0.0430518920269,0,1,0.001,0.00509479229057,220,31.946,results/global_povm_search_qam4_0p25_d_scale_coarse_down/best_matrices/best_M4_loss_0.25_scale_0p9_outcomes_32.npz,results/global_povm_search_qam4_0p25_d_scale_coarse_down/global_povm_search_summary.csv
4,0.25,0.944060876286,1.70303303327,1.89225892585,0.9,32,1.01903553152,1.12625819036,0.107222658835,10.5219745062,random_21,polish_5_from_random_21,polish,31,9,1.08218156622,1.08176667658,1.08383411711,0.0444915137764,0.042424073242,0,6,0.001,0.00173890162915,380,118.484,results/global_povm_search_qam4_0p25_d_scale_fine_0p90_1p00/best_matrices/best_M4_loss_0.25_scale_0p9_outcomes_32.npz,results/global_povm_search_qam4_0p25_d_scale_fine_0p90_1p00/global_povm_search_summary.csv
4,0.25,0.944060876286,1.72195562252,1.89225892585,0.91,32,1.01903553152,1.12741806375,0.108382532228,10.6357952079,random_14,polish_7_from_random_14,polish,31,8,1.08379086135,1.08355192649,1.08519436134,0.0438661372566,0.0422237024106,0,5,0.001,0.00192749272755,420,102.329,results/global_povm_search_qam4_0p25_d_scale_narrow_0p91_0p94/best_matrices/best_M4_loss_0.25_scale_0p91_outcomes_32.npz,results/global_povm_search_qam4_0p25_d_scale_narrow_0p91_0p94/global_povm_search_summary.csv
4,0.25,0.944060876286,1.74087821178,1.89225892585,0.92,32,1.01903553152,1.12867651872,0.109640987204,10.7592899181,random_6,polish_7_from_random_6,polish,31,9,1.08488832831,1.08470947741,1.08557945513,0.0439670413185,0.0430970635922,0,6,0.001,0.00128360604889,420,109.36,results/global_povm_search_qam4_0p25_d_scale_narrow_0p91_0p94/best_matrices/best_M4_loss_0.25_scale_0p92_outcomes_32.npz,results/global_povm_search_qam4_0p25_d_scale_narrow_0p91_0p94/global_povm_search_summary.csv
4,0.25,0.944060876286,1.75033950641,1.89225892585,0.925,32,1.01903553152,1.12851974791,0.109484216391,10.7439056838,random_15,polish_3_from_random_15,polish,31,9,1.08517633107,1.08505785058,1.08577101412,0.0434618973278,0.0427487337944,0,7,0.001,0.001207915733,420,108.646,results/global_povm_search_qam4_0p25_d_scale_narrow_0p91_0p94/best_matrices/best_M4_loss_0.25_scale_0p925_outcomes_32.npz,results/global_povm_search_qam4_0p25_d_scale_narrow_0p91_0p94/global_povm_search_summary.csv
4,0.25,0.944060876286,1.75033950641,1.89225892585,0.925,32,1.01903553152,1.12870095109,0.109665419569,10.761687515,random_9,polish_6_from_random_9,polish,31,9,1.08520909515,1.08505785058,1.08572473056,0.0436431005062,0.0429762205333,0,7,0.001,0.00132477956637,380,105.432,results/global_povm_search_qam4_0p25_d_scale_fine_0p90_1p00/best_matrices/best_M4_loss_0.25_scale_0p925_outcomes_32.npz,results/global_povm_search_qam4_0p25_d_scale_fine_0p90_1p00/global_povm_search_summary.csv
