subfigure,M,constellation,receiver,loss_db_per_arm_code,end_to_end_loss_db_midpoint,hashing_bound_bits_per_attempt,optimized_spacing_d,source_dataset,loss_db,vacuum_rate,raw_rate,raw_minus_vacuum,vacuum_d,raw_d,source_file,raw_success_probability,raw_average_target_fidelity,raw_useful_outcomes,raw_candidate_seconds,note,source_label,source_priority,vacuum_candidate_source,raw_candidate_source,vacuum_candidate_seconds,vacuum_bracket_min,vacuum_bracket_max,raw_bracket_min,raw_bracket_max,vacuum_optimizer_success,raw_optimizer_success,vacuum_optimizer_nfev,raw_optimizer_nfev,cache_evaluations,vacuum_boundary_peak,raw_boundary_peak,seconds
Fig. 1(c),2,2-QAM,full_state_raw_label_srm,0.0,0.0,1.0,5.95382694915,merged_2_4_8_16_raw_label_srm,0.0,0.99999998477,1.0,1.52299791667e-08,6.0,5.95382694915,results/raw_label_vs_vacuum_omit_srm_qam_ultradense_m2_0_0p25db/raw_label_minus_vacuum_omit_srm.csv,,,,,,,,,,,,,,,,,,,,,,
Fig. 1(c),2,2-QAM,full_state_raw_label_srm,0.01,0.02,0.939411105043,2.2700217954,merged_2_4_8_16_raw_label_srm,0.01,0.908161686232,0.939411105043,0.0312494188111,2.87497501367,2.2700217954,results/raw_label_vs_vacuum_omit_srm_qam_ultradense_m2_0_0p25db/raw_label_minus_vacuum_omit_srm.csv,,,,,,,,,,,,,,,,,,,,,,
Fig. 1(c),2,2-QAM,full_state_raw_label_srm,0.02,0.04,0.901300440841,2.14308468085,merged_2_4_8_16_raw_label_srm,0.02,0.85563397593,0.901300440841,0.0456664649112,2.66426012849,2.14308468085,results/raw_label_vs_vacuum_omit_srm_qam_ultradense_m2_0_0p25db/raw_label_minus_vacuum_omit_srm.csv,,,,,,,,,,,,,,,,,,,,,,
Fig. 1(c),2,2-QAM,full_state_raw_label_srm,0.03,0.06,0.869883268406,2.06753939152,merged_2_4_8_16_raw_label_srm,0.03,0.814526033968,0.869883268406,0.0553572344383,2.5346853605,2.06753939152,results/raw_label_vs_vacuum_omit_srm_qam_ultradense_m2_0_0p25db/raw_label_minus_vacuum_omit_srm.csv,,,,,,,,,,,,,,,,,,,,,,
Fig. 1(c),2,2-QAM,full_state_raw_label_srm,0.04,0.08,0.842422690765,2.01351878567,merged_2_4_8_16_raw_label_srm,0.04,0.78005903878,0.842422690765,0.0623636519845,2.43968246453,2.01351878567,results/raw_label_vs_vacuum_omit_srm_qam_ultradense_m2_0_0p25db/raw_label_minus_vacuum_omit_srm.csv,,,,,,,,,,,,,,,,,,,,,,
Fig. 1(c),2,2-QAM,full_state_raw_label_srm,0.05,0.1,0.817711000695,1.97146625929,merged_2_4_8_16_raw_label_srm,0.05,0.750134677896,0.817711000695,0.0675763227997,2.36416367465,1.97146625929,results/raw_label_vs_vacuum_omit_srm_qam_ultradense_m2_0_0p25db/raw_label_minus_vacuum_omit_srm.csv,,,,,,,,,,,,,,,,,,,,,,
Fig. 1(c),2,2-QAM,full_state_raw_label_srm,0.06,0.12,0.7950735757,1.93706733311,merged_2_4_8_16_raw_label_srm,0.06,0.723586531235,0.7950735757,0.071487044465,2.30125172517,1.93706733311,results/raw_label_vs_vacuum_omit_srm_qam_ultradense_m2_0_0p25db/raw_label_minus_vacuum_omit_srm.csv,,,,,,,,,,,,,,,,,,,,,,
Fig. 1(c),2,2-QAM,full_state_raw_label_srm,0.07,0.14,0.774083197484,1.90799487138,merged_2_4_8_16_raw_label_srm,0.07,0.699679688579,0.774083197484,0.0744035089046,2.24720494884,1.90799487138,results/raw_label_vs_vacuum_omit_srm_qam_ultradense_m2_0_0p25db/raw_label_minus_vacuum_omit_srm.csv,,,,,,,,,,,,,,,,,,,,,,
Fig. 1(c),2,2-QAM,full_state_raw_label_srm,0.08,0.16,0.754446941918,1.88284950643,merged_2_4_8_16_raw_label_srm,0.08,0.677912946991,0.754446941918,0.0765339949271,2.19975636951,1.88284950643,results/raw_label_vs_vacuum_omit_srm_qam_ultradense_m2_0_0p25db/raw_label_minus_vacuum_omit_srm.csv,,,,,,,,,,,,,,,,,,,,,,
Fig. 1(c),2,2-QAM,full_state_raw_label_srm,0.09,0.18,0.735952552344,1.86072111883,merged_2_4_8_16_raw_label_srm,0.09,0.657925161207,0.735952552344,0.0780273911372,2.15742309931,1.86072111883,results/raw_label_vs_vacuum_omit_srm_qam_ultradense_m2_0_0p25db/raw_label_minus_vacuum_omit_srm.csv,,,,,,,,,,,,,,,,,,,,,,
