subfigure,M,constellation,receiver,loss_db_per_arm_code,end_to_end_loss_db_midpoint,spacing_d,hashing_bound_bits_per_attempt,grid_region,loss_db,eta,success_probability,average_target_fidelity,useful_outcomes,seconds
Fig. 2(b),4,4-QAM,full_state_raw_label_srm,0.9,1.8,0.5,0.144550508229,full_d,0.9,0.812830516164,0.999999999367,0.954286261774,12,0.043
Fig. 2(b),4,4-QAM,full_state_raw_label_srm,0.9,1.8,0.5025,0.145551976388,full_d,0.9,0.812830516164,0.999999997998,0.953838754946,12,0.023
Fig. 2(b),4,4-QAM,full_state_raw_label_srm,0.9,1.8,0.505,0.14655125484,full_d,0.9,0.812830516164,0.999999999965,0.953389229101,12,0.024
Fig. 2(b),4,4-QAM,full_state_raw_label_srm,0.9,1.8,0.5075,0.147548275403,full_d,0.9,0.812830516164,0.999999999921,0.952937687359,12,0.026
Fig. 2(b),4,4-QAM,full_state_raw_label_srm,0.9,1.8,0.51,0.14854297129,full_d,0.9,0.812830516164,0.999999999573,0.952484132853,12,0.004
Fig. 2(b),4,4-QAM,full_state_raw_label_srm,0.9,1.8,0.5125,0.149535275976,full_d,0.9,0.812830516164,0.999999999774,0.952028568735,12,0.044
Fig. 2(b),4,4-QAM,full_state_raw_label_srm,0.9,1.8,0.515,0.150525123112,full_d,0.9,0.812830516164,0.999999999989,0.951570998168,12,0.003
Fig. 2(b),4,4-QAM,full_state_raw_label_srm,0.9,1.8,0.5175,0.151512446622,full_d,0.9,0.812830516164,0.999999998923,0.951111424331,12,0.025
Fig. 2(b),4,4-QAM,full_state_raw_label_srm,0.9,1.8,0.52,0.152497181541,full_d,0.9,0.812830516164,0.999999999988,0.95064985042,12,0.003
Fig. 2(b),4,4-QAM,full_state_raw_label_srm,0.9,1.8,0.5225,0.153479262302,full_d,0.9,0.812830516164,0.999999999987,0.950186279643,12,0.04
Fig. 2(b),4,4-QAM,full_state_raw_label_srm,0.9,1.8,0.525,0.154458624391,full_d,0.9,0.812830516164,0.99999999998,0.949720715225,12,0.004
Fig. 2(b),4,4-QAM,full_state_raw_label_srm,0.9,1.8,0.5275,0.155435203548,full_d,0.9,0.812830516164,0.99999999999,0.949253160406,12,0.003
Fig. 2(b),4,4-QAM,full_state_raw_label_srm,0.9,1.8,0.53,0.156408935717,full_d,0.9,0.812830516164,0.999999998655,0.948783618439,12,0.003
Fig. 2(b),4,4-QAM,full_state_raw_label_srm,0.9,1.8,0.5325,0.157379758032,full_d,0.9,0.812830516164,0.999999999527,0.948312092593,12,0.005
