subfigure,M,constellation,receiver,interface_loss_db_per_reflection,channel_loss_db_per_arm_code,end_to_end_channel_loss_db_midpoint,branch_label,spacing_d,hashing_bound_bits_per_attempt,generation_loss_db_per_step,channel_loss_db
"Fig. 3(a,b)",2,2-QAM,raw_label_srm,0.0,0.25,0.5,single,1.67478287424,0.523688510534,0.0,0.25
"Fig. 3(a,b)",2,2-QAM,raw_label_srm,0.05,0.25,0.5,single,1.63445635267,0.47527205281,0.05,0.25
"Fig. 3(a,b)",2,2-QAM,raw_label_srm,0.1,0.25,0.5,single,1.60021650566,0.431790854934,0.1,0.25
"Fig. 3(a,b)",2,2-QAM,raw_label_srm,0.15,0.25,0.5,single,1.57051053051,0.392270357698,0.15,0.25
"Fig. 3(a,b)",2,2-QAM,raw_label_srm,0.2,0.25,0.5,single,1.54433889119,0.356015334845,0.2,0.25
"Fig. 3(a,b)",2,2-QAM,raw_label_srm,0.25,0.25,0.5,single,1.52101417515,0.322508776506,0.25,0.25
"Fig. 3(a,b)",2,2-QAM,raw_label_srm,0.3,0.25,0.5,single,1.50008679407,0.291353710639,0.3,0.25
"Fig. 3(a,b)",2,2-QAM,raw_label_srm,0.35,0.25,0.5,single,1.48122754298,0.26223751105,0.35,0.25
"Fig. 3(a,b)",2,2-QAM,raw_label_srm,0.4,0.25,0.5,single,1.46421301638,0.234908879201,0.4,0.25
"Fig. 3(a,b)",2,2-QAM,raw_label_srm,0.45,0.25,0.5,single,1.44891702223,0.209162398752,0.45,0.25
"Fig. 3(a,b)",2,2-QAM,raw_label_srm,0.5,0.25,0.5,single,1.43522848204,0.184827842497,0.5,0.25
"Fig. 3(a,b)",4,4-QAM,raw_label_srm,0.0,0.25,0.5,high_d,1.76801826628,1.08526639383,0.0,0.25
"Fig. 3(a,b)",4,4-QAM,raw_label_srm,0.05,0.25,0.5,high_d,1.70840255798,0.902979890401,0.05,0.25
"Fig. 3(a,b)",4,4-QAM,raw_label_srm,0.1,0.25,0.5,high_d,1.66541120374,0.755588063203,0.1,0.25
"Fig. 3(a,b)",4,4-QAM,raw_label_srm,0.15,0.25,0.5,high_d,1.6330038608,0.629076423782,0.15,0.25
"Fig. 3(a,b)",4,4-QAM,raw_label_srm,0.2,0.25,0.5,high_d,1.60875398183,0.51747103624,0.2,0.25
"Fig. 3(a,b)",4,4-QAM,raw_label_srm,0.25,0.25,0.5,high_d,1.59213822059,0.417364658198,0.25,0.25
"Fig. 3(a,b)",4,4-QAM,raw_label_srm,0.28,0.25,0.5,high_d,1.58632044343,0.361888034316,0.28,0.25
"Fig. 3(a,b)",4,4-QAM,raw_label_srm,0.285,0.25,0.5,high_d,1.58570618801,0.35294361408,0.285,0.25
