subfigure,M,constellation,receiver,interface_loss_db_per_reflection,channel_loss_db_per_arm_code,end_to_end_channel_loss_db_midpoint,phase_error_pi,phase_error_rad,optimized_spacing_d,hashing_bound_bits_per_attempt,source_folder,source_loss_db_per_interface,channel_loss_db_per_arm,eta_source,eta_channel,seed_spacing_d,bracket_min,bracket_max,success_probability,average_target_fidelity,probability_weighted_fidelity,min_coherent_information,useful_outcomes,optimizer_success,optimizer_nfev,is_boundary_peak,seconds
"Fig. 3(c,d)",2,2-QAM,raw_label_srm,0.1,0.25,0.5,-0.3,-0.942477796077,1.80730189985,0.428813166267,interface_0p1db,0.1,0.25,0.977237220956,0.944060876286,1.60021650566,1.30021650566,1.90021650566,1.0,0.90562597582,0.90562597582,0.335324375388,4,1,8,0,0.085
"Fig. 3(c,d)",2,2-QAM,raw_label_srm,0.1,0.25,0.5,-0.295,-0.926769832809,1.79975854004,0.428851474944,interface_0p1db,0.1,0.25,0.977237220956,0.944060876286,1.60021650566,1.30021650566,1.90021650566,1.0,0.905706625512,0.905706625512,0.335147298702,4,1,8,0,0.036
"Fig. 3(c,d)",2,2-QAM,raw_label_srm,0.1,0.25,0.5,-0.29,-0.911061869541,1.79239127082,0.428892004316,interface_0p1db,0.1,0.25,0.977237220956,0.944060876286,1.60021650566,1.30021650566,1.90021650566,1.0,0.905785426,0.905785426,0.334965263867,4,1,8,0,0.081
"Fig. 3(c,d)",2,2-QAM,raw_label_srm,0.1,0.25,0.5,-0.285,-0.895353906273,1.78521021271,0.428934645773,interface_0p1db,0.1,0.25,0.977237220956,0.944060876286,1.60021650566,1.30021650566,1.90021650566,1.0,0.905861160104,0.905861160104,0.334781035646,4,1,8,0,0.054
"Fig. 3(c,d)",2,2-QAM,raw_label_srm,0.1,0.25,0.5,-0.28,-0.879645943005,1.7781463005,0.428979291922,interface_0p1db,0.1,0.25,0.977237220956,0.944060876286,1.60021650566,1.30021650566,1.90021650566,1.0,0.905940183599,0.905940183599,0.334583064327,4,1,8,0,0.074
"Fig. 3(c,d)",2,2-QAM,raw_label_srm,0.1,0.25,0.5,-0.275,-0.863937979737,1.77129717799,0.42902583669,interface_0p1db,0.1,0.25,0.977237220956,0.944060876286,1.60021650566,1.30021650566,1.90021650566,1.0,0.906012930014,0.906012930014,0.334389892755,4,1,8,0,0.013
"Fig. 3(c,d)",2,2-QAM,raw_label_srm,0.1,0.25,0.5,-0.27,-0.848230016469,1.76461049166,0.429074174797,interface_0p1db,0.1,0.25,0.977237220956,0.944060876286,1.60021650566,1.30021650566,1.90021650566,1.0,0.906084169863,0.906084169863,0.334192968991,4,1,8,0,0.124
"Fig. 3(c,d)",2,2-QAM,raw_label_srm,0.1,0.25,0.5,-0.265,-0.832522053201,1.75808960496,0.429124202466,interface_0p1db,0.1,0.25,0.977237220956,0.944060876286,1.60021650566,1.30021650566,1.90021650566,1.0,0.906153356674,0.906153356674,0.333993785717,4,1,7,0,0.059
"Fig. 3(c,d)",2,2-QAM,raw_label_srm,0.1,0.25,0.5,-0.26,-0.816814089933,1.7517155024,0.429175817231,interface_0p1db,0.1,0.25,0.977237220956,0.944060876286,1.60021650566,1.30021650566,1.90021650566,1.0,0.906222109868,0.906222109868,0.333789645182,4,1,7,0,0.101
"Fig. 3(c,d)",2,2-QAM,raw_label_srm,0.1,0.25,0.5,-0.255,-0.801106126665,1.74550291559,0.429228917856,interface_0p1db,0.1,0.25,0.977237220956,0.944060876286,1.60021650566,1.30021650566,1.90021650566,1.0,0.906288799229,0.906288799229,0.333584120229,4,1,8,0,0.019
"Fig. 3(c,d)",2,2-QAM,raw_label_srm,0.1,0.25,0.5,-0.25,-0.785398163397,1.73944418929,0.429283404443,interface_0p1db,0.1,0.25,0.977237220956,0.944060876286,1.60021650566,1.30021650566,1.90021650566,1.0,0.906353960847,0.906353960847,0.333376591467,4,1,8,0,0.199
"Fig. 3(c,d)",2,2-QAM,raw_label_srm,0.1,0.25,0.5,-0.245,-0.769690200129,1.73353734291,0.429339178388,interface_0p1db,0.1,0.25,0.977237220956,0.944060876286,1.60021650566,1.30021650566,1.90021650566,1.0,0.906417589438,0.906417589438,0.333167477472,4,1,8,0,0.076
"Fig. 3(c,d)",2,2-QAM,raw_label_srm,0.1,0.25,0.5,-0.24,-0.753982236862,1.72778045411,0.429396142385,interface_0p1db,0.1,0.25,0.977237220956,0.944060876286,1.60021650566,1.30021650566,1.90021650566,1.0,0.906479680088,0.906479680088,0.33295718786,4,1,8,0,0.182
"Fig. 3(c,d)",2,2-QAM,raw_label_srm,0.1,0.25,0.5,-0.235,-0.738274273594,1.72217165574,0.429454200416,interface_0p1db,0.1,0.25,0.977237220956,0.944060876286,1.60021650566,1.30021650566,1.90021650566,1.0,0.906540228413,0.906540228413,0.332746122651,4,1,8,0,0.065
"Fig. 3(c,d)",2,2-QAM,raw_label_srm,0.1,0.25,0.5,-0.23,-0.722566310326,1.71670913296,0.429513257736,interface_0p1db,0.1,0.25,0.977237220956,0.944060876286,1.60021650566,1.30021650566,1.90021650566,1.0,0.906599230694,0.906599230694,0.332534671689,4,1,8,0,0.055
"Fig. 3(c,d)",2,2-QAM,raw_label_srm,0.1,0.25,0.5,-0.225,-0.706858347058,1.71141174901,0.429573220865,interface_0p1db,0.1,0.25,0.977237220956,0.944060876286,1.60021650566,1.30021650566,1.90021650566,1.0,0.906654654968,0.906654654968,0.332327302667,4,1,8,0,0.011
"Fig. 3(c,d)",2,2-QAM,raw_label_srm,0.1,0.25,0.5,-0.22,-0.69115038379,1.70624322979,0.429633997536,interface_0p1db,0.1,0.25,0.977237220956,0.944060876286,1.60021650566,1.30021650566,1.90021650566,1.0,0.906709892356,0.906709892356,0.332117571778,4,1,8,0,0.13
"Fig. 3(c,d)",2,2-QAM,raw_label_srm,0.1,0.25,0.5,-0.215,-0.675442420522,1.70121516082,0.429695496669,interface_0p1db,0.1,0.25,0.977237220956,0.944060876286,1.60021650566,1.30021650566,1.90021650566,1.0,0.90676364116,0.90676364116,0.33190844161,4,1,8,0,0.199
